Lotus
 sell book,,,,Buy Book
 OrderID,Quantity,Price,,Price,Quantity,OrderID
ord199998,910,892.00,,506.00,690,ord199950
ord199717,210,332.00,,577.00,300,ord199884
ord199584,400,307.00,,665.00,60,ord199701
ord199812,620,302.00,,701.00,510,ord199851
ord199582,450,275.00,,703.00,970,ord199893
ord168214,240,251.00,,710.00,580,ord199907
ord179894,940,250.00,,751.00,170,ord137089
ord199265,810,250.00,,751.00,830,ord169922
ord191677,210,249.00,,751.00,850,ord197245
ord182228,560,249.00,,751.00,360,ord194262
ord197317,580,248.00,,751.00,190,ord188529
ord197802,770,248.00,,751.00,320,ord107450
ord187016,810,248.00,,751.00,360,ord177760
ord175413,260,248.00,,751.00,700,ord174450
ord194259,690,247.00,,751.00,320,ord150291
ord190210,300,247.00,,752.00,650,ord131821
ord176264,700,247.00,,752.00,820,ord127442
ord189955,640,246.00,,752.00,600,ord170986
ord169331,900,246.00,,752.00,790,ord111931
ord198887,400,245.00,,752.00,840,ord102874
ord171387,620,245.00,,752.00,370,ord100392
ord177880,530,244.00,,752.00,550,ord166789
ord172398,130,244.00,,752.00,730,ord157080
ord169918,410,244.00,,752.00,610,ord156185
ord175960,810,243.00,,752.00,530,ord153824
ord171829,900,243.00,,752.00,360,ord152043
ord187985,700,242.00,,752.00,500,ord144795
ord180146,210,242.00,,753.00,720,ord135384
ord173651,1000,242.00,,753.00,330,ord134551
ord172653,540,242.00,,753.00,160,ord132438
ord198116,590,241.00,,753.00,600,ord128631
ord195997,870,241.00,,753.00,610,ord124167
ord182562,970,241.00,,753.00,600,ord117364
ord185017,810,241.00,,753.00,390,ord108594
ord193253,880,239.00,,753.00,910,ord194322
ord193500,690,239.00,,753.00,150,ord47035
ord180651,370,239.00,,753.00,50,ord89843
ord175918,630,239.00,,753.00,450,ord99708
ord168644,790,239.00,,753.00,130,ord50733
ord199439,600,238.00,,753.00,240,ord156212
ord198571,980,238.00,,753.00,150,ord152732
ord196639,490,238.00,,753.00,200,ord146738
ord193771,140,238.00,,753.00,600,ord79458
ord186124,250,238.00,,753.00,380,ord72324
ord184488,400,238.00,,754.00,310,ord139296
ord178685,730,238.00,,754.00,840,ord132154
ord169084,740,238.00,,754.00,800,ord119048
ord139799,10,238.00,,754.00,140,ord63175
ord90370,130,238.00,,754.00,400,ord199278
ord50691,600,238.00,,754.00,810,ord100706
ord80911,350,238.00,,754.00,760,ord99508
ord78560,350,238.00,,754.00,530,ord25072
ord41795,640,238.00,,754.00,160,ord99067
ord142448,660,237.00,,754.00,240,ord189345
ord140919,130,237.00,,754.00,570,ord185161
ord40352,470,237.00,,754.00,460,ord52986
ord128126,910,237.00,,754.00,100,ord52520
ord128072,760,237.00,,754.00,260,ord175124
ord125681,340,237.00,,754.00,140,ord173911
ord120745,420,237.00,,754.00,860,ord166083
ord119462,830,237.00,,754.00,860,ord165384
ord120363,700,237.00,,754.00,880,ord163575
ord114897,530,237.00,,754.00,710,ord87051
ord60436,910,237.00,,754.00,720,ord84451
ord58257,330,237.00,,754.00,180,ord84555
ord195687,160,237.00,,754.00,360,ord82707
ord195309,260,237.00,,754.00,270,ord150946
ord100384,220,237.00,,755.00,160,ord135397
ord106155,280,237.00,,755.00,710,ord67441
ord110314,460,237.00,,755.00,150,ord112332
ord113113,760,237.00,,755.00,830,ord54625
ord114387,240,237.00,,755.00,120,ord196254
ord103002,400,237.00,,755.00,620,ord192246
ord184040,830,237.00,,755.00,450,ord191832
ord176872,200,237.00,,755.00,400,ord190754
ord168016,400,237.00,,755.00,420,ord190323
ord165574,250,237.00,,755.00,860,ord97429
ord86646,510,237.00,,755.00,120,ord89223
ord85396,670,237.00,,755.00,860,ord167170
ord163136,100,237.00,,755.00,670,ord161907
ord162686,170,237.00,,755.00,810,ord154071
ord157219,380,237.00,,755.00,230,ord150577
ord145658,200,236.00,,755.00,330,ord72997
ord73297,780,236.00,,755.00,180,ord20392
ord127595,760,236.00,,756.00,190,ord140811
ord61148,420,236.00,,756.00,650,ord71088
ord101222,630,236.00,,756.00,110,ord128534
ord196395,370,236.00,,756.00,730,ord126764
ord91144,830,236.00,,756.00,630,ord115840
ord167104,450,236.00,,756.00,720,ord114740
ord70865,860,235.00,,756.00,670,ord112083
ord139136,840,235.00,,756.00,430,ord171074
ord132602,660,235.00,,756.00,690,ord63493
ord125529,630,235.00,,756.00,470,ord57348
ord64332,820,235.00,,756.00,380,ord28571
ord107139,410,235.00,,756.00,940,ord105564
ord198477,210,235.00,,756.00,730,ord199563
ord192587,810,235.00,,756.00,620,ord100735
ord191506,180,235.00,,756.00,430,ord191806
ord186317,610,235.00,,756.00,780,ord189309
ord50776,760,235.00,,756.00,950,ord23779
ord179409,620,235.00,,756.00,650,ord179249
ord175774,350,235.00,,756.00,430,ord173200
ord80865,790,235.00,,756.00,350,ord171664
ord152700,440,234.00,,756.00,890,ord163876
ord149417,1000,234.00,,756.00,900,ord163798
ord137434,350,234.00,,756.00,840,ord82895
ord134349,440,234.00,,756.00,550,ord23350
ord130785,590,234.00,,756.00,190,ord77771
ord63438,300,234.00,,756.00,580,ord151610
ord119190,140,234.00,,756.00,900,ord150764
ord51215,780,234.00,,756.00,590,ord150692
ord50500,660,234.00,,756.00,640,ord148192
ord184668,660,234.00,,756.00,280,ord73867
ord180013,620,234.00,,756.00,470,ord21623
ord170970,760,234.00,,757.00,410,ord140257
ord170884,180,234.00,,757.00,550,ord71648
ord170439,420,234.00,,757.00,280,ord66742
ord85636,700,234.00,,757.00,610,ord66845
ord64106,420,233.00,,757.00,970,ord120538
ord63963,830,233.00,,757.00,690,ord62061
ord117421,340,233.00,,757.00,990,ord58755
ord60632,920,233.00,,757.00,920,ord110568
ord102932,110,233.00,,757.00,170,ord107780
ord197979,890,233.00,,757.00,370,ord27386
ord193570,710,233.00,,757.00,650,ord105380
ord98852,220,233.00,,757.00,190,ord103665
ord181375,830,233.00,,757.00,110,ord52132
ord176812,240,233.00,,757.00,380,ord198069
ord172804,100,233.00,,757.00,240,ord194271
ord90384,660,233.00,,757.00,140,ord99603
ord47271,710,233.00,,757.00,400,ord98481
ord169626,380,233.00,,757.00,170,ord188547
ord84028,570,233.00,,757.00,930,ord24879
ord145445,680,232.00,,757.00,370,ord24059
ord148242,690,232.00,,757.00,550,ord48292
ord142384,990,232.00,,757.00,970,ord182511
ord69817,450,232.00,,757.00,970,ord181521
ord118694,130,232.00,,757.00,700,ord177664
ord116342,390,232.00,,757.00,760,ord85520
ord106109,200,232.00,,757.00,840,ord81857
ord53926,690,232.00,,757.00,690,ord81515
ord189141,400,232.00,,757.00,520,ord151465
ord188738,760,232.00,,757.00,280,ord147329
ord177716,770,232.00,,757.00,280,ord19420
ord169166,760,232.00,,758.00,350,ord68932
ord161334,510,232.00,,758.00,660,ord132802
ord157533,820,232.00,,758.00,290,ord117696
ord155311,1000,232.00,,758.00,360,ord32611
ord153614,960,231.00,,758.00,560,ord110733
ord150243,590,231.00,,758.00,570,ord106647
ord148588,750,231.00,,758.00,120,ord191893
ord147607,960,231.00,,758.00,420,ord181306
ord35386,400,231.00,,758.00,580,ord173973
ord136094,880,231.00,,758.00,680,ord23101
ord133990,790,231.00,,758.00,340,ord166600
ord67189,290,231.00,,758.00,150,ord83916
ord109772,430,231.00,,758.00,290,ord82399
ord108054,910,231.00,,758.00,850,ord22313
ord55588,1000,231.00,,758.00,540,ord156198
ord55620,120,231.00,,758.00,840,ord155967
ord185786,480,231.00,,758.00,310,ord41635
ord94032,870,231.00,,758.00,200,ord149128
ord182528,210,231.00,,758.00,360,ord74623
ord92523,350,231.00,,758.00,490,ord73443
ord92382,800,231.00,,758.00,270,ord73045
ord179689,640,231.00,,759.00,300,ord69839
ord173793,810,231.00,,759.00,320,ord131093
ord172126,520,231.00,,759.00,570,ord129457
ord172623,530,231.00,,759.00,480,ord121396
ord162291,490,231.00,,759.00,750,ord31459
ord162037,140,231.00,,759.00,930,ord88374
ord159049,740,231.00,,759.00,500,ord112798
ord79668,290,231.00,,759.00,320,ord18770
ord73985,400,230.00,,759.00,170,ord199321
ord135272,450,230.00,,759.00,400,ord51565
ord135457,330,230.00,,759.00,160,ord197858
ord68812,530,230.00,,759.00,820,ord195449
ord65082,510,230.00,,759.00,880,ord193661
ord64949,360,230.00,,759.00,710,ord190314
ord123530,220,230.00,,759.00,740,ord98689
ord114067,700,230.00,,759.00,320,ord187627
ord109181,920,230.00,,759.00,290,ord96277
ord103468,790,230.00,,759.00,840,ord181153
ord101280,910,230.00,,759.00,890,ord47553
ord197189,690,230.00,,759.00,520,ord91810
ord97475,310,230.00,,759.00,810,ord46313
ord186471,530,230.00,,759.00,820,ord89452
ord184493,650,230.00,,759.00,200,ord168019
ord49004,120,230.00,,759.00,340,ord85430
ord179260,180,230.00,,759.00,640,ord85505
ord77625,950,229.00,,759.00,180,ord82557
ord75795,260,229.00,,759.00,680,ord42711
ord72317,810,229.00,,759.00,970,ord40662
ord71669,150,229.00,,759.00,110,ord153949
ord136051,830,229.00,,759.00,670,ord77372
ord134525,910,229.00,,759.00,550,ord40198
ord132643,970,229.00,,759.00,860,ord150984
ord128999,550,229.00,,759.00,190,ord150756
ord65139,300,229.00,,759.00,460,ord150297
ord108447,750,229.00,,759.00,430,ord148063
ord105011,500,229.00,,759.00,370,ord146576
ord199011,920,229.00,,760.00,380,ord81938
ord196829,460,229.00,,760.00,760,ord34440
ord93269,550,229.00,,760.00,140,ord67982
ord49501,930,229.00,,760.00,270,ord129423
ord175132,920,229.00,,760.00,190,ord125130
ord167887,680,229.00,,760.00,770,ord61483
ord165895,680,229.00,,760.00,610,ord31261
ord163491,630,229.00,,760.00,550,ord59937
ord44334,630,229.00,,760.00,410,ord58947
ord162385,390,229.00,,760.00,450,ord112076
ord81893,770,229.00,,760.00,880,ord54967
ord80303,940,229.00,,760.00,670,ord52696
ord79420,230,229.00,,760.00,530,ord99704
ord78329,140,229.00,,760.00,460,ord183188
ord152971,760,228.00,,760.00,730,ord23876
ord147034,560,228.00,,760.00,960,ord172889
ord68920,890,228.00,,760.00,490,ord166293
ord131301,180,228.00,,760.00,150,ord154246
ord127648,110,228.00,,760.00,710,ord76968
ord60544,320,228.00,,760.00,240,ord21289
ord60611,590,228.00,,761.00,190,ord138957
ord113767,830,228.00,,761.00,780,ord35319
ord104020,420,228.00,,761.00,320,ord63191
ord196391,470,228.00,,761.00,940,ord62245
ord189417,350,228.00,,761.00,780,ord121253
ord51400,730,228.00,,761.00,950,ord31528
ord177990,120,228.00,,761.00,970,ord30289
ord88766,440,228.00,,761.00,460,ord61398
ord167850,220,228.00,,761.00,250,ord115982
ord81717,600,228.00,,761.00,150,ord29032
ord159190,960,228.00,,761.00,570,ord108020
ord157138,640,228.00,,761.00,440,ord107061
ord151487,900,227.00,,761.00,250,ord105578
ord146019,660,227.00,,761.00,250,ord54658
ord73557,470,227.00,,761.00,560,ord104946
ord137374,560,227.00,,761.00,380,ord101481
ord137323,250,227.00,,761.00,980,ord100457
ord132646,640,227.00,,761.00,780,ord189282
ord123069,850,227.00,,761.00,860,ord182029
ord198926,530,227.00,,761.00,840,ord23519
ord197793,570,227.00,,761.00,920,ord89820
ord187560,610,227.00,,761.00,340,ord168716
ord184139,360,227.00,,761.00,210,ord86593
ord175946,600,227.00,,761.00,570,ord22785
ord88485,220,227.00,,761.00,570,ord166936
ord164809,520,227.00,,762.00,530,ord34353
ord83307,620,227.00,,762.00,730,ord18373
ord81272,290,227.00,,762.00,210,ord121317
ord145454,620,226.00,,762.00,730,ord62159
ord38752,490,226.00,,762.00,180,ord118792
ord143003,790,226.00,,762.00,470,ord29595
ord139340,600,226.00,,762.00,610,ord106942
ord137072,590,226.00,,762.00,100,ord53309
ord122367,370,226.00,,762.00,200,ord198211
ord114519,190,226.00,,762.00,500,ord195669
ord59567,830,226.00,,762.00,160,ord194136
ord108060,170,226.00,,762.00,690,ord193530
ord98882,770,226.00,,762.00,760,ord178584
ord183680,420,226.00,,762.00,320,ord178062
ord46202,460,226.00,,762.00,610,ord174631
ord166708,360,226.00,,762.00,540,ord45828
ord163725,210,226.00,,762.00,450,ord86934
ord156385,900,226.00,,762.00,750,ord170490
ord155581,500,226.00,,762.00,600,ord167368
ord42210,660,226.00,,762.00,930,ord85092
