Lotus
 sell book,,,,Buy Book
 OrderID,Quantity,Price,,Price,Quantity,OrderID
ord1999997,950,515,,735,520,ord1997940
ord1999958,70,414,,738,220,ord1995509
ord1999457,530,349,,742,120,ord1997884
ord1999699,840,329,,744,770,ord1997313
ord1999474,240,317,,744,820,ord1996756
ord1999701,160,309,,745,910,ord1997406
ord1999907,310,295,,746,220,ord1997524
ord1999151,330,282,,746,760,ord1995786
ord1999953,130,280,,747,620,ord1996123
ord1984394,40,275,,748,440,ord1995379
ord1994263,990,274,,749,920,ord1998025
ord1976888,320,274,,749,280,ord1997693
ord1999760,1000,274,,750,280,ord1985205
ord1975255,780,273,,750,540,ord1971893
ord1973984,660,273,,750,130,ord1980086
ord1992765,270,272,,750,510,ord1933392
ord1986216,640,272,,750,690,ord1911496
ord1973238,790,272,,750,880,ord1881685
ord1992431,550,271,,750,780,ord1878284
ord1991799,110,271,,750,220,ord1864980
ord1982999,870,271,,750,420,ord1844604
ord1980421,490,271,,750,460,ord1823808
ord1972877,100,271,,750,330,ord1816636
ord1983083,490,270,,750,460,ord1790510
ord1977001,600,270,,751,580,ord1987081
ord1974019,540,270,,751,720,ord1985682
ord1993678,710,269,,751,720,ord1983366
ord1989000,710,269,,751,420,ord1972186
ord1997433,340,268,,751,550,ord1966350
ord1981619,740,268,,751,160,ord1932967
ord1974624,440,268,,751,730,ord1909069
ord1996963,250,267,,751,390,ord1908022
ord1993214,940,267,,751,240,ord1904734
ord1983139,120,267,,751,540,ord1894604
ord1986185,380,266,,751,1000,ord1892053
ord1982345,720,266,,751,450,ord1887270
ord1994910,720,265,,751,690,ord1887286
ord1999223,230,264,,751,450,ord1887224
ord1975919,480,263,,751,150,ord1869258
ord1994901,250,262,,751,500,ord1857871
ord1979475,610,262,,751,810,ord1824815
ord1976820,750,262,,751,410,ord1803462
ord1979123,740,261,,751,140,ord1792760
ord1983927,830,260,,751,600,ord1791240
ord1980160,170,260,,752,720,ord1978958
ord1972305,710,260,,752,280,ord1958872
ord1995880,190,259,,752,150,ord1953663
ord1988719,220,259,,752,590,ord1942390
ord1979978,520,259,,752,800,ord1934190
ord1999346,190,258,,752,540,ord1914979
ord1992774,580,258,,752,770,ord1911384
ord1982794,780,258,,752,830,ord1908304
ord1984933,730,257,,752,400,ord1890335
ord1971588,880,257,,752,210,ord1888255
ord1982631,440,256,,752,710,ord1887717
ord1981282,750,256,,752,830,ord1875100
ord1980382,980,256,,752,680,ord1860723
ord1978934,260,256,,752,750,ord1851031
ord1975600,760,256,,752,390,ord1837088
ord1989603,140,255,,752,500,ord1836144
ord1988508,580,255,,752,660,ord1823163
ord1987269,520,255,,752,480,ord1818295
ord1986907,580,255,,752,870,ord1805387
ord1983258,760,255,,753,130,ord1992263
